BookingID,BookingDate,CustomerID,CustomerName,Gender,Age,MobileNo,EmailID,City,Country,FlightID,FlightName,FlightNumber,SourceCity,SourceAirport,DestinationCity,DestinationAirport,FlightDate,DepartureTime,ArrivalTime,SeatClass,SeatNumber,PNRNumber,TicketPrice,TaxAmount,TotalAmount,PaymentMode,PaymentStatus,BookingStatus
3981,2025-10-15,CUST003981,Anamika Kumar,Male,30.0,8100862943.0,wriddhishdoshi@example.com,Chennai,UAE,FL003981,Lufthansa,UK8056,London,Heathrow Airport,Kolkata,Netaji Subhas Chandra Bose International Airport,2025-11-05,08:00,11:00,Economy,45A,PNR4559767,-49548,435.15,9138.15,UPI,Paid,Confirmed
930,2025-08-05,CUST000930,,Female,46.0,1590033661.0,gsunder@example.com,Guna,India,FL000930,Lufthansa,UK8524,Bangkok,Suvarnabhumi Airport,Delhi,Indira Gandhi International Airport,,23:30,04:30,First Class,22A,PNR9733046,-49249,3245.2,68149.2,Net Banking,Paid,Waiting
3407,2025-12-10,CUST003407,,Female,18.0,1304453024.0,jhaverigautami@example.net,Erode,Thailand,FL003407,Emirates,QP2527,Jaipur,Jaipur International Airport,Kolkata,Netaji Subhas Chandra Bose International Airport,31-02-2026,12:15,17:15,Economy,36A,PNR7361845,-38539,1390.35,29197.35,Debit Card,Paid,Cancelled
3407,2025-12-10,CUST003407,,Female,18.0,1304453024.0,jhaverigautami@example.net,Erode,Thailand,FL003407,Emirates,QP2527,Jaipur,Jaipur International Airport,Kolkata,Netaji Subhas Chandra Bose International Airport,31-02-2026,12:15,17:15,Economy,36A,PNR7361845,-38539,1390.35,29197.35,Debit Card,Paid,Cancelled
2594,2025-06-24,CUST002594,Adya Naik,Female,41.0,7575444164.0,,Muzaffarpur,UK,FL002594,IndiGo,UK8541,Goa,Manohar International Airport,London,Heathrow Airport,,08:30,11:30,First Class,22D,PNR9702075,-43773,1545.9,32463.9,Debit Card,Pending,Cancelled
3775,2025-10-05,CUST003775,Maya Desai,Male,65.0,2279921142.0,ganga68@example.org,Ulhasnagar,India,FL003775,IndiGo,AI1964,Ahmedabad,Sardar Vallabhbhai Patel International Airport,Hyderabad,Rajiv Gandhi International Airport,00-00-0000,22:30,04:30,Economy,3F,PNR9564421,-41484,949.05,19930.05,UPI,Pending,Confirmed
930,2025-08-05,CUST000930,,Female,46.0,1590033661.0,gsunder@example.com,Guna,India,FL000930,Lufthansa,UK8524,Bangkok,Suvarnabhumi Airport,Delhi,Indira Gandhi International Airport,,23:30,04:30,First Class,22A,PNR9733046,-49249,3245.2,68149.2,Net Banking,Paid,Waiting
4863,2026-03-21,CUST004863,Ojas Narain,Female,41.0,3731399015.0,,Haldia,Singapore,FL004863,IndiGo,AI9772,Bangkok,Suvarnabhumi Airport,London,Heathrow Airport,2026-04-10,00:00,07:00,Economy,42F,PNR3935194,-48815,805.85,16922.85,Net Banking,Paid,Cancelled
4332,2025-07-31,CUST004332,,Female,22.0,3773419237.0,abcgmail.com,Delhi,Singapore,FL004332,Vistara,QP2322,Singapore,Singapore Changi Airport,Hyderabad,Rajiv Gandhi International Airport,2025-08-16,10:15,12:15,First Class,41C,PNR1144228,-44560,1675.4,35183.4,UPI,Refunded,Confirmed
3709,2025-06-29,CUST003709,Yatin Chander,Female,65.0,98765,goletanmayi@example.net,Fatehpur,Thailand,FL003709,Akasa Air,QR7645,,Suvarnabhumi Airport,Bengaluru,Kempegowda International Airport,2025-07-23,06:30,08:30,,40A,PNR2208135,-43316,1804.05,37885.05,Net Banking,,Cancelled
1256,2026-01-11,CUST001256,Bachittar Palla,Male,30.0,6677196882.0,lchaudhary@example.net,Chinsurah,UAE,FL001256,Emirates,QR4064,Ahmedabad,Sardar Vallabhbhai Patel International Airport,,Jaipur International Airport,2026-02-02,11:45,21:45,Economy,23C,PNR9712299,-41572,143.25,3008.25,Credit Card,Paid,Confirmed
2897,2025-07-04,CUST002897,Arya Doshi,Male,60.0,7671830485.0,ukala@example.com,Anand,Thailand,FL002897,Akasa Air,QP3041,Mumbai,Chhatrapati Shivaji Maharaj International Airport,,Heathrow Airport,2025-09-08,12:15,17:15,Business,35C,PNR9334045,-47059,1834.05,38515.05,UPI,Paid,Cancelled
2587,2025-11-12,CUST002587,Raghav Dewan,Male,42.0,3347130043.0,vedantrajagopal@example.org,,India,FL002587,Akasa Air,SG5835,Delhi,Indira Gandhi International Airport,Chennai,Chennai International Airport,2026-02-19,22:45,02:45,Premium Economy,25F,PNR7797944,-44642,503.15,10566.15,Debit Card,Paid,Waiting
1904,2025-11-07,CUST001904,Neha Sha,Female,18.0,2092967605.0,balhaar50@example.com,Sambhal,Singapore,FL001904,IndiGo,EK5109,,Chhatrapati Shivaji Maharaj International Airport,Singapore,Singapore Changi Airport,31-02-2026,07:45,09:45,Economy,43D,PNR1759663,-39389,3654.5,76744.5,Debit Card,Refunded,Waiting
4617,2025-06-27,CUST004617,Aarna Mallick,Female,73.0,9740299242.0,gsubramanian@example.org,Chandigarh,UK,FL004617,SpiceJet,6E8492,Jaipur,Jaipur International Airport,Hyderabad,Rajiv Gandhi International Airport,2025-08-20,03:15,04:15,Business,26A,PNR8703469,-45291,1973.55,41444.55,Net Banking,,Cancelled
2815,2025-11-26,CUST002815,Chatresh Pradhan,Female,21.0,2398226268.0,girik32@example.org,Raiganj,UK,FL002815,Air India,QP5869,Jaipur,Jaipur International Airport,Delhi,Indira Gandhi International Airport,2026-02-20,05:00,13:00,Economy,23C,PNR5416574,-46000,1570.6,32982.6,Credit Card,Pending,Confirmed
4332,2025-07-31,CUST004332,,Female,22.0,3773419237.0,abcgmail.com,Delhi,Singapore,FL004332,Vistara,QP2322,Singapore,Singapore Changi Airport,Hyderabad,Rajiv Gandhi International Airport,2025-08-16,10:15,12:15,First Class,41C,PNR1144228,-44560,1675.4,35183.4,UPI,Refunded,Confirmed
4565,2026-05-04,CUST004565,Qabil Sengupta,Female,58.0,4396065452.0,,Bikaner,India,FL004565,Thai Airways,UK4116,Delhi,Indira Gandhi International Airport,Bengaluru,Kempegowda International Airport,2026-06-02,12:00,20:00,Premium Economy,9D,,-49824,3655.35,76762.35,Net Banking,Refunded,Cancelled
3951,2026-03-29,CUST003951,Anirudh Sachdeva,Female,21.0,6445011550.0,karanbhasin@example.net,Mumbai,India,FL003951,Etihad Airways,6E3301,Delhi,Indira Gandhi International Airport,Hyderabad,Rajiv Gandhi International Airport,2026-04-09,11:15,15:15,Business,48B,PNR8072760,-49075,3154.75,66249.75,Credit Card,Pending,Waiting
3591,2025-09-25,CUST003591,Nandini Batta,Male,60.0,7016339066.0,cdave@example.net,Katihar,UK,FL003591,Etihad Airways,AI9532,Bangkok,Suvarnabhumi Airport,Pune,Pune International Airport,2026-01-08,12:45,16:45,First Class,5F,PNR6348373,-45919,2735.6,57447.6,UPI,Pending,Cancelled
2054,2026-03-10,CUST002054,Geetika Kurian,Male,45.0,3143383082.0,ekani81@example.net,Bilaspur,UAE,FL002054,Emirates,EK5052,Jaipur,Jaipur International Airport,London,Heathrow Airport,2026-03-23,01:15,06:15,Business,38E,PNR6520363,-46105,1070.25,22475.25,Debit Card,Paid,Confirmed
