BookingID,BookingDate,CustomerID,CustomerName,Gender,Age,MobileNo,EmailID,City,Country,FlightID,FlightName,FlightNumber,SourceCity,SourceAirport,DestinationCity,DestinationAirport,FlightDate,DepartureTime,ArrivalTime,SeatClass,SeatNumber,PNRNumber,TicketPrice,TaxAmount,TotalAmount,PaymentMode,PaymentStatus,BookingStatus
1690,2025-11-25,Cust001690,Bahadurjit Swamy,Male,48.0,4630329843.0,Rgoda@Example.Com,Berhampore,Uk,Fl001690,Singapore Airlines,Sg2109,Ahmedabad,Sardar Vallabhbhai Patel International Airport,,Heathrow Airport,2025-11-29,14:00,19:00,First Class,40A,Pnr7922321,24610,1230.5,25840.5,Net Banking,Pending,Waiting
2399,2026-05-21,Cust002399,,Female,33.0,9420542745.0,Om95@Example.Com,Mysore,Thailand,Fl002399,Etihad Airways,Uk9588,Mumbai,Chhatrapati Shivaji Maharaj International Airport,Ahmedabad,Sardar Vallabhbhai Patel International Airport,2026-07-20,06:30,08:30,Economy,10F,Pnr1694734,71893,3594.65,75487.65,Debit Card,Refunded,Waiting
1181,2025-11-04,Cust001181,Diya Goel,Female,30.0,3844774388.0,Samraindira@Example.Net,Medininagar,Uk,Fl001181,Akasa Air,Uk9528,Kolkata,Netaji Subhas Chandra Bose International Airport,,Indira Gandhi International Airport,2025-11-21,20:00,04:00,Business,49B,Pnr1281400,67601,3380.05,70981.05,Debit Card,Pending,Waiting
2506,2026-05-30,Cust002506,Omya Varkey,Female,48.0,3151414768.0,User@,Satara,India,Fl002506,Lufthansa,Qr5309,Doha,Hamad International Airport,Goa,Manohar International Airport,2026-08-10,18:45,00:45,First Class,32C,Pnr8326876,40021,2001.05,42022.05,Credit Card,Pending,
1496,2025-06-25,Cust001496,Tanmayi Apte,Female,58.0,5194803805.0,,Imphal,Uk,Fl001496,Emirates,Sg8037,Bengaluru,Kempegowda International Airport,Mumbai,Chhatrapati Shivaji Maharaj International Airport,2025-08-23,08:45,14:45,,37D,Pnr9053659,69585,3479.25,73064.25,Credit Card,Refunded,Waiting
2675,2026-03-06,Cust002675,,Female,33.0,6504672104.0,George81@Example.Org,Siliguri,Uk,Fl002675,Etihad Airways,Ek3999,Bengaluru,Kempegowda International Airport,Hyderabad,Rajiv Gandhi International Airport,2026-04-06,10:00,17:00,Economy,2F,Pnr9647184,48815,2440.75,51255.75,Upi,Paid,Cancelled
2152,2025-07-31,Cust002152,Chameli Wagle,Male,34.0,8413870637.0,Farhanlala@Example.Net,Orai,Singapore,Fl002152,Qatar Airways,Uk5875,Bangkok,Suvarnabhumi Airport,,Dubai International Airport,2025-07-31,04:00,06:00,Economy,13C,Pnr9825663,38428,1921.4,40349.4,Upi,Paid,Confirmed
1994,2026-03-14,Cust001994,Vanya Sami,Male,43.0,6721955542.0,Kapurvictor@Example.Net,Raurkela Industrial Township,Uae,Fl001994,British Airways,Ai6060,Mumbai,Chhatrapati Shivaji Maharaj International Airport,London,Heathrow Airport,2026-05-31,02:15,05:15,First Class,46E,Pnr5396424,71158,3557.9,74715.9,Credit Card,Paid,Waiting
2231,2026-05-12,Cust002231,Arin Kumar,Male,47.77896725440806,9562167281.0,Lajitaom@Example.Org,Gudivada,Thailand,Fl002231,Singapore Airlines,Uk3936,London,Heathrow Airport,Chennai,Chennai International Airport,2026-05-12,19:00,20:00,First Class,35B,Pnr8015269,52104,2605.2,54709.2,Debit Card,Refunded,Confirmed
3054,2025-07-29,Cust003054,,Male,35.0,3874167342.0,Urishilla33@Example.Net,,Thailand,Fl003054,Akasa Air,6E681,Chennai,Chennai International Airport,Dubai,Dubai International Airport,2025-08-02,02:45,11:45,Economy,9B,Pnr3955488,11743,587.15,12330.15,Debit Card,Refunded,Cancelled
3200,2025-08-31,Cust003200,Panini Gulati,Female,32.0,5043017974.0,Qjhaveri@Example.Org,Miryalaguda,India,Fl003200,Qatar Airways,Ek9100,London,Heathrow Airport,Kolkata,Netaji Subhas Chandra Bose International Airport,2025-10-01,03:00,08:00,First Class,8F,Pnr7320946,14944,747.2,15691.2,Net Banking,Refunded,Cancelled
3458,2026-06-06,Cust003458,Jagdish Barad,Female,62.0,9532210911.0,Gaurangi86@Example.Org,Bhubaneswar,Uae,Fl003458,Air India,Ek7922,Doha,Hamad International Airport,Bengaluru,Kempegowda International Airport,2026-06-14,17:30,21:30,First Class,33B,Pnr7514545,50498,2524.9,53022.9,Credit Card,Paid,Confirmed
4357,2026-01-14,Cust004357,,Male,21.0,4078511791.0,Niteshthaker@Example.Net,Ujjain,Uae,Fl004357,Indigo,6E705,Goa,Manohar International Airport,Pune,Pune International Airport,2026-01-23,12:00,18:00,First Class,18E,Pnr4009279,33083,1654.15,34737.15,Upi,Refunded,Confirmed
1931,2025-11-10,Cust001931,,Male,24.0,6796609270.0,Gauri99@Example.Org,Ranchi,Uk,Fl001931,Singapore Airlines,6E9618,Bangkok,Suvarnabhumi Airport,Pune,Pune International Airport,2026-01-06,08:15,17:15,Economy,7F,Pnr7357085,73079,3653.95,76732.95,Debit Card,Pending,Waiting
4201,2025-07-10,Cust004201,,Male,67.0,5446377121.0,Bmohan@Example.Net,Srinagar,Thailand,Fl004201,Spice Jet,Qp6228,Dubai,Dubai International Airport,Kolkata,Netaji Subhas Chandra Bose International Airport,2025-08-16,09:30,13:30,Economy,36B,Pnr4621541,22626,1131.3,23757.3,Debit Card,Pending,Cancelled
1440,2025-12-07,Cust001440,Jalsa Basak,Female,22.0,3631676858.0,Bsolanki@Example.Net,Munger,India,Fl001440,Lufthansa,6E4464,Pune,Pune International Airport,Jaipur,Jaipur International Airport,2026-01-27,06:15,09:15,Business,44D,Pnr9842514,54477,2723.85,57200.85,Upi,Pending,Confirmed
460,2026-05-14,Cust000460,Zansi Bhatt,Male,37.0,1648420492.0,Watika29@Example.Net,Karnal,Singapore,Fl000460,Emirates,Sg9190,Kolkata,Netaji Subhas Chandra Bose International Airport,,Singapore Changi Airport,2026-06-28,06:15,16:15,,7F,Pnr5707858,8097,404.85,8501.85,Upi,Pending,Cancelled
