SaleID,Date,Product,Category,City,SalesPerson,Quantity,UnitPrice,TotalSales,Profit
1,2026-01-01,Laptop,Electronics,Ahmedabad,Rahul Shah,2,55000,110000,18000
2,2026-01-01,Mobile,Electronics,Surat,Priya Patel,5,18000,90000,14000
3,2026-01-02,Tablet,Electronics,Vadodara,Amit Kumar,3,22000,66000,9000
4,2026-01-02,Printer,Accessories,Rajkot,Neha Joshi,4,12000,48000,7000
5,2026-01-03,Mouse,Accessories,Mumbai,Karan Mehta,10,800,8000,2500
6,2026-01-03,Keyboard,Accessories,Pune,Riya Sharma,7,1500,10500,3000
7,2026-01-04,Monitor,Electronics,Delhi,Arjun Singh,3,14000,42000,8000
8,2026-01-04,Headphones,Accessories,Jaipur,Sneha Patel,8,2500,20000,4500
9,2026-01-05,Smart Watch,Electronics,Ahmedabad,Yash Shah,4,9000,36000,6000
10,2026-01-05,Speaker,Accessories,Surat,Meera Iyer,6,3500,21000,5000
11,2026-01-06,Laptop,Electronics,Vadodara,Rahul Shah,1,60000,60000,12000
12,2026-01-06,Mobile,Electronics,Rajkot,Priya Patel,3,20000,60000,9000
13,2026-01-07,Tablet,Electronics,Mumbai,Amit Kumar,2,24000,48000,7000
14,2026-01-07,Printer,Accessories,Pune,Neha Joshi,5,13000,65000,8500
15,2026-01-08,Mouse,Accessories,Delhi,Karan Mehta,12,700,8400,2000
16,2026-01-08,Keyboard,Accessories,Jaipur,Riya Sharma,9,1800,16200,3500
17,2026-01-09,Monitor,Electronics,Ahmedabad,Arjun Singh,2,15000,30000,5500
18,2026-01-09,Headphones,Accessories,Surat,Sneha Patel,6,2700,16200,4000
19,2026-01-10,Smart Watch,Electronics,Vadodara,Yash Shah,3,9500,28500,5000
20,2026-01-10,Speaker,Accessories,Rajkot,Meera Iyer,4,4000,16000,3500
21,2026-01-11,Laptop,Electronics,Mumbai,Rahul Shah,2,58000,116000,19000
22,2026-01-11,Mobile,Electronics,Pune,Priya Patel,6,17000,102000,16000
23,2026-01-12,Tablet,Electronics,Delhi,Amit Kumar,3,21000,63000,8500
24,2026-01-12,Printer,Accessories,Jaipur,Neha Joshi,2,14000,28000,4500
25,2026-01-13,Mouse,Accessories,Ahmedabad,Karan Mehta,15,750,11250,3000
26,2026-01-13,Keyboard,Accessories,Surat,Riya Sharma,5,2000,10000,2500
27,2026-01-14,Monitor,Electronics,Vadodara,Arjun Singh,4,14500,58000,10000
28,2026-01-14,Headphones,Accessories,Rajkot,Sneha Patel,7,2600,18200,4200
29,2026-01-15,Smart Watch,Electronics,Mumbai,Yash Shah,5,10000,50000,8500
30,2026-01-15,Speaker,Accessories,Pune,Meera Iyer,8,3200,25600,5000
